Experiments,Test,Animal,ID,Treatment,Diet,Age_month,Age_Cat,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1.headtime,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2.headtime,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone.headtime,Outerzone.distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone.time.freezing,Centerzone : head entries,Centerzone.headtime,Centerzone.distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone.time.freezing,Object 3 : head entries,Object 3.headtime,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total.Distance,Total.Time.Freezing
APOE_190610_E44,101,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Day3_Novel Object2,1,2Objects_NOR,4,4.9,0.230046948,38.9,4.9,0,2.8,0,7,16.4,0.769953052,20.6,8.8,7.6,6.1,1.6,14,77.9,3.93,0.9,0.05,52.7,26.2,72.8,6.5,18,24.4,1.727,19.5,0.062,20.1,7.8,1.6,3,0.8,29.4,0,5,2.2,19.5,0,7.6,5,5.657,8.1
APOE_190610_E44,111,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Day5_NovelObject3,1,2Objects_NOR,7,6.9,0.372972973,23.6,6.9,0,0.8,0,8,11.6,0.627027027,19.3,11.6,0,3.6,0,19,80.9,5.399,0.4,0.069,63.3,14.5,84.2,1.5,17,22.4,2.495,23.2,0.119,20.9,0,0,5,1.5,23.2,0,5,2.9,34.2,0,5,7.2,7.894,1.5
APOE_190610_E44,10,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,124,325.1,15.317,1.4,0.039,299.5,93.6,346.4,28.1,63,58.5,7.173,0,0.153,46.9,0,0,,,,,,,,,153.3,151.5,22.49,28.1
APOE_190610_E44,20,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Dilutions,1,2Objects_NOR,11,7.7,0.405263158,1,7.7,0,2.5,0,6,11.3,0.594736842,14.1,11.3,0,5.2,0,19,58.7,6.69,5.7,0.111,60.5,0,96.1,0,20,35,2.29,0,0.064,35.6,0,0,3,9.5,81.1,0,8,10.3,42.6,0,12.8,10.3,8.98,0
APOE_190610_E44,30,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Dilutions,2,2Objects_NOR,11,10.7,0.545918367,8.4,10.7,0,3.6,0,8,8.9,0.454081633,38.2,8.9,0,1.2,0,26,53.6,4.901,0,0.079,52.1,9.8,73,5,23,26.6,1.477,19.9,0.071,20.9,0,0,5,7.7,54.5,0,8,7.4,19.3,0.4,26.2,24.7,6.378,5
APOE_190610_E44,40,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Dilutions,3,2Objects_NOR,5,6.8,0.393063584,25.9,6.8,0,2.9,0,8,10.5,0.606936416,18.9,10.5,0,8.1,0,15,43.7,2.95,0,0.062,45,2.2,81.4,1.5,16,46.7,2.072,3.6,0.057,36.4,0,0,6,11.6,48.3,0,7,14.1,14.3,0,25,23.3,5.022,1.5
APOE_190610_E44,50,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Dilutions,4,2Objects_NOR,4,9.9,0.876106195,100,1.1,8.8,5.4,4.5,2,1.4,0.123893805,59.9,1.4,0,0.7,0,18,70.4,2.078,0.8,0.026,40.9,40.5,47.4,17.3,12,12,0.309,0,0.047,6.5,0,0,2,6.1,93.1,0.2,4,5.8,15.8,0.3,35,34.2,2.387,17.3
APOE_190610_E44,60,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Day1_vanilla,5,2Objects_NOR,2,5.9,0.936507937,94.2,0.4,5.5,0.2,2.8,1,0.4,0.063492063,77.8,0.4,0,0,0,16,93,3.385,0.4,0.033,63.3,40.5,65.1,17.8,5,5.1,0.261,77.8,0.148,1.8,0,0,1,0.6,,0,1,0.9,,0,19.1,17.3,3.646,17.8
APOE_190610_E44,88,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Day2_IdenticalObject,1,2Objects_NOR,3,2.3,0.172932331,32.4,2.3,0,2.1,0,9,11,0.827067669,9.8,8.6,2.4,4.3,0,22,87.5,6.258,0,0.067,62.6,30.5,73.9,7.9,10,10.9,0.823,11.3,0.073,11.3,0,0,3,1.1,12.1,0,2,0.5,19,0,22.4,17.8,7.081,7.9
APOE_190610_E44,90,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Day2_IdenticalObject,2,2Objects_NOR,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,26,104.3,2.392,1.2,0.02,30.2,88.4,31.2,59.7,1,0.9,0.112,0,0.115,1,0,0,0,0,,0,1,0.3,0.7,0,64.8,66.9,2.504,59.7
APOE_190610_E44,92,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Day2_IdenticalObject,3,2Objects_NOR,3,6.1,0.897058824,26.7,3.2,2.9,1.8,0,1,0.7,0.102941176,57,0.7,0,0.2,0,16,96.2,3.346,0.6,0.032,46.6,58.7,48.2,35.7,3,5.7,0.17,36.5,0.037,1.6,3,0,3,6.1,116.2,0,1,0.7,57.3,0,47.7,45.9,3.516,35.7
APOE_190610_E44,99,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Day2_ShortTermMemory,4,2Objects_NOR,3,3.4,0.739130435,13.4,3.4,0,2.3,0,2,1.2,0.260869565,26,1.2,0,0.5,0,14,84.6,2.481,0,0.023,44.5,64.9,48.5,37,4,5,0.342,25.2,0.086,4,0,0,3,3.4,34,0,2,1.2,,0,43.2,48.6,2.823,37
APOE_190610_E44,110,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Day3_Novel Object2,1,2Objects_NOR,10,16.1,0.516025641,8.6,13.8,2.3,5.5,0,8,15.1,0.483974359,18.3,12.5,2.6,5.3,0,19,65.9,4.472,0,0.068,57.4,8.7,76,2.1,22,25.2,1.708,50.6,0.082,18.6,2.3,0,4,1.7,50.4,0,4,1.7,52.9,0,9.8,9.5,6.18,2.1
APOE_190610_E44,120,061019_10,190610_10,E44F,Control,14,Young,Female,E44,B,Day5_NovelObject3,1,2Objects_NOR,6,7.9,0.357466063,6.9,7.9,0,3.8,0,5,14.2,0.642533937,28.6,8.6,5.7,7.2,2.4,13,74,6.907,1.5,0.092,66.4,8.5,87.7,1.1,15,22.4,1.612,0,0.076,21.3,0,0,8,5.3,64.3,0,0,0,93.2,0,15,18.1,8.519,1.1
APOE_190610_E44,2,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,86,274.1,8.904,0,0.039,185,43.6,281.1,11.6,79,176.4,9.082,16.1,0.05,96.1,85.2,20.9,,,,,,,,,115.3,108.8,17.986,32.5
APOE_190610_E44,12,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Dilutions,1,2Objects_NOR,7,6.2,0.385093168,2.2,6.2,0,5.4,0,3,9.9,0.614906832,3.4,5.1,4.8,6,2.6,24,75.9,4.724,0,0.053,57.9,30.6,59.8,12,5,10.7,0,11.5,0,1.9,0,0,3,1.1,13.7,0,3,2.5,,0,24,26.8,4.724,12
APOE_190610_E44,22,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Dilutions,2,2Objects_NOR,3,4.8,1,0,4.8,0,3.6,0,0,0,0,,0,0,0,0,14,93.8,4.602,3.2,0.043,56.9,51.1,59.1,20.8,2,3,0.137,0,0.062,2.2,0,0,1,0.5,,0,1,0.8,,0,29.6,25.1,4.739,20.8
APOE_190610_E44,32,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Dilutions,3,2Objects_NOR,0,0,0,,0,0,0,0,5,9.2,1,22,8.9,0.3,3.2,0,14,94.4,2.813,2.8,0.028,49.1,51.1,50.9,22.9,5,5.1,0.106,0,0.058,1.8,0,0,1,1.1,,0,0,0,,0,13.7,15.5,2.919,22.9
APOE_190610_E44,42,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Dilutions,4,2Objects_NOR,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,12,111.3,0.991,4.9,0.009,12.1,102.9,13.9,68.2,1,1.8,0.039,0,0.022,1.8,0,0,0,0,,0,0,0,,0,54.3,46.9,1.03,68.2
APOE_190610_E44,52,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Day1_vanilla,5,2Objects_NOR,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,1,116.3,0.266,0.9,0.002,5.3,112.5,6.2,81.9,1,3.7,0.261,0,0.294,0.9,0,0,0,0,,0,0,0,,0,66.6,67.9,0.527,81.9
APOE_190610_E44,62,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,1,2Objects_NOR,5,8.5,0.639097744,11.8,8.5,0,2.8,0,5,4.8,0.360902256,14.7,4.8,0,2.6,0,10,85.5,3.5,1.9,0.042,43.8,39.9,59.2,17.3,8,21.3,1.141,0,0.074,15.4,0,0,4,2.4,17.6,0,5,2.9,0.6,0,25.5,20.7,4.641,17.3
APOE_190610_E44,64,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,2,2Objects_NOR,1,0.9,1,74.8,0.9,0,0.9,0,0,0,0,,0,0,0,0,18,106.1,1.25,0.8,0.011,21.2,94.2,22.4,55.5,2,0.5,0.076,0,0.063,1.2,0,0,0,0,,0,2,1,69.2,0,37.5,57.8,1.326,55.5
APOE_190610_E44,66,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,3,2Objects_NOR,6,10.4,0.35862069,57.9,9.2,1.2,3.7,0,10,18.6,0.64137931,0,11,7.7,3.8,0,19,71.3,2.98,1.7,0.041,48.9,23,64.6,5.7,16,22.4,1.06,0,0.048,15.7,6.4,0,6,10.4,82.2,0.1,10,18.6,49.2,0,18.4,18.1,4.04,5.7
APOE_190610_E44,68,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Day2_ShortTermMemory,4,2Objects_NOR,4,8.3,0.560810811,65.9,8.3,0,2.2,0,8,6.5,0.439189189,64.2,6.5,0,2.7,0,14,80.6,1.597,1.2,0.018,22.9,66,44.3,27.9,10,22.3,1.204,0,0.056,21.4,0,0,4,8.3,86.5,0,8,6.5,79.1,0.3,34.9,22.9,2.801,27.9
APOE_190610_E44,102,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Day3_Novel Object2,1,2Objects_NOR,7,17,0.557377049,49.1,14.7,2.3,4,0,9,13.5,0.442622951,2.1,13.5,0,2.7,0,19,64,3.498,2.8,0.058,48.9,11.2,74.2,0,22,34.1,1.933,0,0.076,25.3,0,0,2,1.5,43.5,0,3,0.9,0,0,13.8,12.1,5.431,0
APOE_190610_E44,112,061019_2,190610_2,E44M,Control,14,Young,Male,E44,A,Day5_NovelObject3,1,2Objects_NOR,11,14.7,0.508650519,27,14.7,0,4.4,0,11,14.2,0.491349481,1.4,14.2,0,4,0,25,63.8,4.919,0,0.078,53.3,9.9,75.2,2.7,25,28.9,1.782,26.6,0.081,21.9,0,0,4,1.3,96.7,0,4,0.8,26.6,0,20,18,6.701,2.7
APOE_190610_E44,3,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,68,145.2,2.328,13.9,0.03,66.7,11.4,172.3,1.3,72,270.2,6.982,0,0.026,105.6,160.1,70.7,,,,,,,,,108.6,158.3,9.31,72
APOE_190610_E44,13,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Dilutions,1,2Objects_NOR,3,2.5,0.5,16.8,2.5,0,0.8,0,6,2.5,0.5,1.8,2.5,0,2.1,0,15,79.5,1.912,4.5,0.042,36,9,42.5,1.3,7,10.4,0.351,0,0.054,6.5,0,0,3,2.5,,0,7,7.8,,0,9.4,10.6,2.263,1.3
APOE_190610_E44,23,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Dilutions,2,2Objects_NOR,2,1.4,1,7.7,1.4,0,1.2,0,0,0,0,,0,0,0,0,7,102.4,1.025,4.4,0.01,22.8,79,24.8,33.5,5,5.5,0.069,0,0.034,2,0,0,0,0,,0,2,8.4,27,0,10.6,20,1.094,33.5
APOE_190610_E44,33,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Dilutions,3,2Objects_NOR,3,3.2,0.653061224,12.2,3.2,0,2.9,0,3,1.7,0.346938776,20,1.7,0,1.2,0,45,69.8,0.94,3,0.009,16.5,83,28.1,67.2,5,12,0.371,21.7,0.032,11.6,0,0,1,3.2,,0,2,2.4,,0,62.6,67.5,1.311,67.2
APOE_190610_E44,43,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Dilutions,4,2Objects_NOR,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,2,117.6,0.387,1.8,0.003,6.4,111.2,7.8,81.1,2,0.6,0.076,0,0.056,1.4,0,0,0,0,,0,1,0.6,,0,0,0,0.463,81.1
APOE_190610_E44,53,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Day1_vanilla,5,2Objects_NOR,6,10.6,0.768115942,17.8,5.2,5.4,2.9,0,2,3.2,0.231884058,50.7,3.2,0,1.1,0,11,77.5,2.018,0.4,0.026,37.4,40.8,43,10.9,11,15.5,0.328,45.6,0.059,5.6,0,0,2,1.5,73.3,0,5,9.5,45,0,28.2,30.2,2.346,10.9
APOE_190610_E44,69,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,1,2Objects_NOR,3,4.7,0.358778626,2.8,4.7,0,2.2,0,5,8.4,0.641221374,8.7,8.4,0,1.8,0,19,77.4,1.764,1.1,0.018,27.1,69.8,35.8,34.5,13,10.6,0.684,0,0.079,8.7,0,0,2,1,0.6,0,1,0.8,28.2,0,54.6,54.6,2.448,34.5
APOE_190610_E44,72,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,2,2Objects_NOR,8,13.3,0.309302326,8.5,7.4,5.8,3.8,0,16,29.7,0.690697674,18,23.7,6,12.6,0,17,37.8,2.011,1,0.056,35.6,0,68.1,0,35,46.7,1.798,0,0.045,32.5,7.9,0,3,1.4,35.9,0,4,2.4,54.5,0,17.8,20.2,3.809,0
APOE_190610_E44,75,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,3,2Objects_NOR,4,9.7,0.442922374,2.3,6.9,2.8,1.3,0,7,12.2,0.557077626,6.4,9.3,2.9,7.6,0,15,68.2,2.691,3,0.039,33.4,35.4,48.3,7.6,13,21.2,1.145,0,0.077,14.9,0,0,4,9.7,2.4,0.2,7,12.2,29.5,0,15.4,20.9,3.836,7.6
APOE_190610_E44,93,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Day2_ShortTermMemory,4,2Objects_NOR,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,1,118.8,0.031,1.9,0,2.6,115.5,3.4,91.6,1,0.6,0.094,0,0.114,0.8,0,0,0,0,,0,0,0,,0,9.1,43.6,0.125,91.6
APOE_190610_E44,103,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Day3_Novel Object2,1,2Objects_NOR,4,6.2,0.348314607,23.8,6.2,0,2.3,0,10,11.6,0.651685393,11,9.6,2,0.6,0,16,84,5.226,0,0.073,53.3,18.1,69.4,3.3,10,15.7,1.386,10.3,0.086,16.1,0,0,2,0.6,47.6,0,2,0.8,60.6,0,6.7,10.5,6.612,3.3
APOE_190610_E44,113,061019_3,190610_3,E44M,Control,14,Young,Male,E44,A,Day5_NovelObject3,1,2Objects_NOR,9,12.5,0.529661017,5.9,12.5,0,3.5,0,10,11.1,0.470338983,10.6,11.1,0,3.7,0,25,72.1,4.746,1.4,0.068,62.2,8.1,77.1,0,19,17.2,1.265,0,0.085,14.9,0,0,2,0.7,8.4,0,3,1.1,1,0,12.7,11.8,6.011,0
APOE_190610_E44,4,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,116,314.1,10.213,2.6,0.031,197.2,134.4,256.8,23.3,48,70.8,3.951,0,0.046,59.6,25.7,5.2,,,,,,,,,85.7,90.9,14.164,28.5
APOE_190610_E44,14,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Dilutions,1,2Objects_NOR,4,2.6,0.565217391,9.8,2.6,0,1,0,2,2,0.434782609,2.5,2,0,0.8,0,20,86.9,5.89,5.9,0.055,66.3,39.9,71.8,6.2,5,7.3,0.239,0,0.044,5.5,0,0,1,0.8,,0,2,0.9,,0,29.9,27,6.129,6.2
APOE_190610_E44,24,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Dilutions,2,2Objects_NOR,1,0.4,1,28.6,0.4,0,0.4,0,0,0,0,,0,0,0,0,16,110,3.734,1.4,0.031,45.5,73,46.6,23.8,1,0.4,0.047,0,0.041,1.1,0,0,0,0,,0,2,1.6,1,0,32,30.6,3.781,23.8
APOE_190610_E44,34,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Dilutions,3,2Objects_NOR,1,0.3,0.375,16.6,0.3,0,0.3,0,1,0.5,0.625,2.6,0.5,0,0.1,0,11,109.5,3.325,4,0.029,52.4,61.9,56.1,21.7,1,3.3,0.159,0,0.043,3.7,0,0,0,0,,0,2,0.9,,0,33.1,34,3.484,21.7
APOE_190610_E44,44,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Dilutions,4,2Objects_NOR,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,8,115.1,3.458,2.3,0.029,46.4,71.1,48.3,22.4,1,2.2,0.126,0,0.065,1.9,0,0,0,0,,0,0,0,,0,9.7,8.5,3.584,22.4
APOE_190610_E44,54,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Day1_vanilla,5,2Objects_NOR,2,1.3,0.52,95.2,1.3,0,0.8,0,1,1.2,0.48,103.7,1.2,0,0,0,13,100.5,2.177,2.2,0.021,21.2,83.4,28.2,43.8,7,9.3,0.553,0,0.079,7,0,0,3,2.8,,0,2,1.6,100.3,0,22.6,30.1,2.73,43.8
APOE_190610_E44,70,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,1,2Objects_NOR,3,3.2,0.310679612,4.5,1.3,1.9,2.1,0,5,7.1,0.689320388,45.8,4.7,2.4,4.7,0,20,90.6,5.98,0.7,0.062,61.8,34.7,66.2,15.4,6,9.5,0.283,11,0.039,4.4,2.8,0,3,2.5,44.5,0,3,1.1,11,0,24.1,25,6.263,15.4
APOE_190610_E44,73,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,2,2Objects_NOR,4,7.6,0.387755102,16.9,7.6,0,2.5,0,7,12,0.612244898,0,8.7,3.3,4.7,0,11,86.9,2.605,1.8,0.03,38.3,49.7,48.8,25.6,10,14.5,0.896,0,0.086,10.5,0,0,0,0,91.9,0,2,1,11,0,19.9,20.2,3.501,25.6
APOE_190610_E44,76,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,3,2Objects_NOR,2,1.5,0.272727273,69.7,1.5,0,1,0,2,4,0.727272727,1.3,4,0,1.4,0,16,103.7,2.197,2.1,0.02,39.2,71.3,42.5,29.2,4,3.7,0.256,0,0.077,3.3,0,0,2,1.5,,0,2,4,100.7,0,55.1,53.5,2.453,29.2
APOE_190610_E44,94,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Day2_ShortTermMemory,4,2Objects_NOR,1,0.9,1,18.2,0.9,0,0.9,0,0,0,0,,0,0,0,0,5,113.6,2.257,0,0.019,27.8,90,27.8,57.6,1,0.4,0,,,0,0,0,1,0.9,,0,0,0,,0,20.8,38.3,2.257,57.6
APOE_190610_E44,104,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Day3_Novel Object2,1,2Objects_NOR,6,6.6,0.445945946,33.5,5.7,0.9,2.6,0,3,8.2,0.554054054,20.7,5.4,2.8,2.7,0,16,83.9,3.436,1.3,0.04,45.7,39.8,58.1,7.3,10,19.4,1.096,0.7,0.069,12.4,3.4,0,2,0.5,0.7,0,1,0.6,32.3,0,21.2,16.4,4.532,7.3
APOE_190610_E44,114,061019_4,190610_4,E44M,Control,14,Young,Male,E44,A,Day5_NovelObject3,1,2Objects_NOR,2,5.1,0.411290323,75.7,5.1,0,3.8,0,7,7.3,0.588709677,31.7,7.3,0,1.6,0,13,93.1,4.291,0,0.045,54.9,40.4,61.7,20.9,6,9.5,0.345,32.5,0.051,6.8,0,0,2,1.3,34.6,0,2,0.8,20.7,0,9.4,12.7,4.636,20.9
APOE_190610_E44,5,061019_5,190610_5,E44M,Control,14,Young,Male,E44,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,110,297.1,10.6,0,0.036,209.5,88.7,308.8,6.5,80,129.7,7.905,12.7,0.07,99.3,14.2,1.2,,,,,,,,,95.1,108.2,18.505,7.7
APOE_190610_E44,15,061019_5,190610_5,E44M,Control,14,Young,Male,E44,A,Dilutions,1,2Objects_NOR,7,3.9,0.590909091,12.4,3.9,0,2.3,0,5,2.7,0.409090909,4.8,2.7,0,1.4,0,24,46.6,4.99,9.1,0.105,44.2,3.4,65.6,0,21,37,0.688,0,0.028,21.4,3.5,0,4,8,20.1,0,21,27.4,3.3,0.5,19.8,11.5,5.678,0
APOE_190610_E44,25,061019_5,190610_5,E44M,Control,14,Young,Male,E44,A,Dilutions,2,2Objects_NOR,6,3.7,0.256944444,20.6,3.7,0,2.8,0,3,10.7,0.743055556,55.5,1.7,9,0.9,0,18,66.4,3.274,1.4,0.056,52.5,5.7,59.3,0,13,28.1,0.413,8.2,0.038,6.8,4.1,0,5,2.5,,0,5,8.3,,0,22.5,22.7,3.687,0
APOE_190610_E44,35,061019_5,190610_5,E44M,Control,14,Young,Male,E44,A,Dilutions,3,2Objects_NOR,3,4.7,0.643835616,86.2,4.7,0,2.1,0,1,2.6,0.356164384,110.8,0.7,1.9,0,0,25,61.5,2.494,0,0.034,43.9,30.2,57.4,6.7,8,15.6,0.693,84.8,0.045,13.5,1.8,0,3,3.1,,0,4,7.4,80.9,0,31.6,33.7,3.187,6.7
